left,esquerda
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para o Mall, é ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para Pure2, é ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para listras, é ""-1""."
"List Mode","Modo de lista"
"Product Page","Página do produto"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","No lado esquerdo, você pode ver o layout da página simples. Mude a opção de configuração e você verá seu efeito lá."
"Media block width, %","Largura do bloco de mídia,%"
"Info Main block width, %","Info Largura do bloco principal,%"
"Width in percents for product info main block.","Largura em porcentagens para o bloco principal de informações do produto."
"Thumbnails Type","Tipo de miniaturas"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Duplica <a href=""section/lightboxpro/#lightboxpro_general""> Configuração do Lightbox Pro </a>."
"To Cart Form","Para carrinho Form"
Tabs,Guias
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Duplica <a href=""section/swissup_easytabs/""> Configuração do Easytabs </a>."
"Photo in description tab","Foto na guia Descrição"
"Sticky add to cart","Sticky adicionar ao carrinho"
"Min width, px","Largura mínima, px"
Columns,Colunas
"Spacing, px","Espaçamento, px"
