left,左
"""Departments"" direct children links",「部門」の直接の子リンク
"Search button",検索ボタン
"Minicart button",ミニカートボタン
"My Account button",マイアカウントボタン
"Alternative Logo Image",代替ロゴ画像
"This logo is used in some Argento themes",このロゴは、いくつかのArgentoテーマで使用されています
"Property $themeCode must be specified.",プロパティ$themeCodeを指定する必要があります。
"Theme Defined",定義されたテーマ
"Full width",全幅
"Limited width",限られた幅
"One column",1列
"Two columns (left sidebar)",2列（左サイドバー）
"Two columns (right sidebar)",2列（右サイドバー）
"Three columns",3列
"Category Page",カテゴリーページ
"Preview page layout",ページレイアウトのプレビュー
"Content width",コンテンツの幅
"Max width",最大幅
"Products list mode",製品リストモード
"Grid Mode",グリッドモード
"Products per Page Allowed Values",ページあたりの製品の許容値
"Products per Page Default Value",ページごとの製品のデフォルト値
"Must be in the allowed values list",許容値リストに含まれている必要があります
"Columns per Row",行ごとの列
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。エッセンスの場合は「-1」です。"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。フラットの場合は「15」です。"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。フォースの場合は「6」です。"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。ラグジュアリーの場合は「6」です。"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。モールの場合は「-1」です。"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。 Pure2の場合は「-1」です。"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b>最小幅</ b>-列数を適用する必要がある画面の最小幅。<br /> <b>列</ b>-列自体がカウントされます。<br /> <b>間隔</ b >-グリッド内のセル間の間隔。 Stripesの場合は「-1」です。"
"List Mode",リストモード
"Product Page",製品ページ
"On a left side you can see simple page layout. Change config option and you'll see its effect there.",左側には、単純なページレイアウトが表示されています。設定オプションを変更すると、その効果がわかります。
"Media block width, %",メディアブロック幅、％
"Info Main block width, %",情報メインブロックの幅、％
"Width in percents for product info main block.",製品情報のメインブロックの幅（パーセント）。
"Thumbnails Type",サムネイルのタイプ
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","<a href=""section/lightboxpro/#lightboxpro_general""> Lightbox Pro構成</a>と重複しています。"
"To Cart Form",カートフォームへ
Tabs,タブ
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","<a href=""section/swissup_easytabs/""> Easytabs config </a>を複製します。"
"Photo in description tab",説明タブの写真
"Sticky add to cart",カートに追加
"Min width, px",最小幅、px
Columns,カラム
"Spacing, px",間隔、px
